,Store / Vendor, Amount,Expense Category,Notes (Optional),,Date (MM-DD-YYYY)
,self,3,Telecom,Ni Bundle,expense,2023-04-24
,Self,30,Food,Yam,expense,2023-04-25
,Martha,100,Gifts,,expense,2023-04-25
,Self,60,Food,Spag,expense,2023-04-26
,Self,100,Food,Sweet Mummy,expense,2023-04-27
,Self,10,Public transportation,,expense,2023-04-28
,Self,20,Food,Fufu,expense,2023-04-28
,Self,30,Food,Shawarma,expense,2023-04-28
,Akosua,10,Gifts,Cloth,expense,2023-04-29
,Self,10,Food,Yam,expense,2023-04-29
,Self,20,Food,Sobolo,expense,2023-04-29
,Landlady,120,Utilities,Water and Li,expense,2023-05-03
,Self,80,Restaurant,Pizza,expense,2023-05-02
,self,22,Restaurant,Coke 1L,expense,2023-05-02
,self,12,Food,Bread,expense,2023-05-02
,Self,35,Food,Sweet Mummy,expense,2023-05-02
,Self,10,Telecom,,expense,2023-05-03
,Self,30,Food,Spag,expense,2023-05-03
,Self,12,Groceries,Milk,expense,2023-05-03
,Akosua,100,Gifts,,expense,2023-05-04
,Self,30,Food,Waakye,expense,2023-05-05
,Self,9,Food,Spring Rolls,expense,2023-05-05
,Self,1,Telecom,Made for me,expense,2023-05-05
,Self,50,Food,Waakye + bread + milk,expense,2023-05-06
,Self,10,Telecom,,expense,2023-05-06
,Self,47,Food,,expense,2023-05-07
,Self,70,Food,Sweet Mummy,expense,2023-05-07
,Self,33,Restaurant,Ice cream,expense,2023-05-07
,Akosua,200,Gifts,,expense,2023-05-08
,Self,150,Public transportation,To Accra,expense,2023-05-08
,Self,92,Food,Rice + Yam,expense,2023-05-09
,Self,30,Public transportation,,expense,2023-05-09
,Self,20,Public transportation,Accra Mall,expense,2023-05-10
,Self,300,Restaurant,KFC,expense,2023-05-11
,Self,30,Public transportation,To East Legon,expense,2023-05-11
,self,20,Food,Koko,expense,2023-05-13
,Self,5,Telecom,,expense,2023-05-13
,Akosua,100,Gifts,,expense,2023-05-15
,Self,21,Food,Yam,expense,2023-05-15
,Self,21,Pocket Money,,expense,2023-05-15
,self,120,Public transportation,Accra to Kumasi,expense,2023-05-16
,Self,70,Food,,expense,2023-05-16
,Self,80,Restaurant,,expense,2023-05-17
,Self,60,Food,,expense,2023-05-17
,Self,60,Restaurant,Shawarma,expense,2023-05-18
,Self,70,Food,Sweet Mummy,expense,2023-05-19
,Self,20,Pocket Money,,expense,2023-05-20
,Self,12,Groceries,Bread,expense,2023-05-19
,Akosua,500,Lending,,expense,2023-05-20
,Self,65,Impulse buying,Cake + Detol + Ice cream,expense,2023-05-21
,self,20,Food,Yam,expense,2023-05-21
,Self,99,Groceries,Milo + Oats + Nido,expense,2023-05-22
,Self,28,Food,,expense,2023-05-22
,Self,13,Food,Bread,expense,2023-05-22
,Self,30,Pocket Money,,expense,2023-05-24
,Akosua,150,Other,,expense,2023-05-25
,Self and Akosua,0,Food,Fufu. The day she braided,expense,2023-05-25
,Self,23,Impulse buying,,expense,2023-05-25
,Self,20,Public transportation,From Akom to Campus,expense,2023-05-28
,Self,25,Impulse buying,,expense,2023-05-29
,self,15,Telecom,,expense,2023-05-29
,Self,162,Restaurant,,expense,2023-05-29
,Self,120,Public transportation,Kumasi to Accra,expense,2023-05-30
,Self,151,Utilities,,expense,2023-05-31
,Self,10,Telecom,M4M,expense,2023-05-31
,Self,5,Telecom,,expense,2023-06-01
,Self,100,Pocket Money,,expense,2023-06-01
,Akosua,100,Gifts,,expense,2023-06-04
,Self,50,Pocket Money,,expense,2023-06-06
,Self,50,Pocket Money,Accra Mall,expense,2023-06-06
,Self,10,Telecom,,expense,2023-06-06
,Self,20,Pocket Money,,expense,2023-06-06
,Akosua,30,Impulse buying,Shawarma,expense,2023-06-06
,Self,50,Pocket Money,,expense,2023-06-07
,Self,50,Food,Shawarma,expense,2023-06-09
,Kedia,50,Gifts,Spent it,expense,2023-06-09
,Self,10,Telecom,M4M,expense,2023-06-09
,Self,500,Clothing,,expense,2023-06-10
,Akosua,100,Gifts,Hair,expense,2023-06-14
,Self,80,Clothing,Yeezy boost 700 + Top,expense,2023-06-15
,Amponsah,20,Gifts,,expense,2023-06-16
,Self,50,Pocket Money,,expense,2023-06-16
,Self,10,Telecom,,expense,2023-06-16
,Self,17,Medical,Nibima,expense,2023-06-17
,Self,50,Clothing,Cargo pant,expense,2023-06-17
,Self,20,Pocket Money,,expense,2023-06-17
,Self,20,Pocket Money,,expense,2023-06-18
,Self,20,Pocket Money,,expense,2023-06-20
,Self,10,Telecom,,expense,2023-06-20
,Self,20,Pocket Money,,expense,2023-06-21
,Self,16,Pocket Money,,expense,2023-06-21
,Self,8,Telecom,,expense,2023-06-21
,Self,10,Telecom,,expense,2023-06-22
,Clarence,98,Car maintenance,,expense,2023-06-22
,Self,40,Medical,,expense,2023-06-22
,Self,20,Pocket Money,,expense,2023-06-22
,Self,100,Public transportation,Accra to Kumasi,expense,2023-06-23
,Self,160,Restaurant,Sweet Mummy,expense,2023-06-24
,Self,30,Pocket Money,Haircut,expense,2023-06-24
,Self,100,Public transportation,Kumasi to Accra,expense,2023-06-25
,Self,32,Food,Me + Clarence,expense,2023-06-26
,Self,20,Pocket Money,,expense,2023-06-27
,Self,15,Restaurant,,expense,2023-06-28
,Self,7,Telecom,,expense,2023-06-28
,Self,40,Pocket Money,,expense,2023-06-28
,Self,17,Pocket Money,,expense,2023-06-30
,Akosua,"1,000",Gifts,,expense,2023-07-01
,Self,150,Going out,Beach + transportation,expense,2023-07-01
,Self,41,Pocket Money,,expense,2023-07-02
,Self,20,Pocket Money,,expense,2023-07-03
,Self,40,Medical,,expense,2023-07-04
,Self,20,Pocket Money,,expense,2023-07-04
,Self,20,Pocket Money,,expense,2023-07-05
,self,20,Pocket Money,,expense,2023-07-06
,Self,15,Pocket Money,GCB,expense,2023-07-06
,Self,10,Telecom,,expense,2023-07-06
,Self,10,Emergency payment,Soap,expense,2023-07-07
,Self,40,Medical,,expense,2023-07-07
,Self,40,Pocket Money,Food + transport,expense,2023-07-07
,Self,5,Utilities,T-Roll,expense,2023-07-07
,Self,40,Clothing,,expense,2023-07-08
,Self,10,Clothing,,expense,2023-07-08
,Self,20,Public transportation,,expense,2023-07-08
,Self,25,Food,Fanta + Bread,expense,2023-07-09
,Self,25,Emergency payment,Pomaid,expense,2023-07-09
,Self,10,Telecom,,expense,2023-07-09
,Self,20,Pocket Money,ACCOUNT BALANCED (57),expense,2023-07-10
,Self,340,Car maintenance,Fuel,expense,2023-07-10
,Self,8,Food,,expense,2023-07-10
,Self,20,Pocket Money,,expense,2023-07-11
,Self,3,Telecom,,expense,2023-07-11
,Self,7,Telecom,,expense,2023-07-11
,Self,20,Pocket Money,,expense,2023-07-12
,Sandra,100,Gifts,,expense,2023-07-13
,Self,20,Pocket Money,,expense,2023-07-13
,Self,28,Pocket Money,,expense,2023-07-14
,Self,50,Gifts,Irene,expense,2023-07-14
,Self,5,Telecom,,expense,2023-07-14
,Self,85,Restaurant,Dimaensa + Transportation,expense,2023-07-15
,Self,20,Pocket Money,,expense,2023-07-16
,Self,45,Food,Drink + Pocket money,expense,2023-07-16
,Self,18,Pocket Money,,expense,2023-07-17
,Self,15,Telecom,,expense,2023-07-17
,Self,20,Pocket Money,,expense,2023-07-18
,Self,51,Utilities,ACCOUNT BALANCED (57),expense,2023-07-18
,Self,100,Gifts,Clinton,expense,2023-07-19
,Self,100,Gifts,Akosua,expense,2023-07-19
,Self,20,Pocket Money,,expense,2023-07-19
,Self,10,Telecom,M4M,expense,2023-07-20
,Self,22,Pocket Money,,expense,2023-07-20
,Self,60,Medical,,expense,2023-07-20
,Self,30,Clothing,,expense,2023-07-20
,Self,20,Pocket Money,,expense,2023-07-21
,Self,26,Pocket Money,,expense,2023-07-22
,Amponsah,50,Gifts,,expense,2023-07-22
,Self,10,Telecom,,expense,2023-07-22
,Self,15,Food,Waakye,expense,2023-07-23
,Self,20,Food,Drink,expense,2023-07-23
,Akosua,10,Telecom,,expense,2023-07-23
,Self,20,Pocket Money,,expense,2023-07-24
,Self,45,Food,,expense,2023-07-24
,Akosua,200,Clothing,,expense,2023-07-25
,Self,22,Pocket Money,,expense,2023-07-25
,Self,18,Pocket Money,,expense,2023-07-26
,Self,60,Medical,plus transport,expense,2023-07-27
,Self,20,Pocket Money,,expense,2023-07-27
,Self,11,Car maintenance,Tire,expense,2023-07-28
,Self,10,Telecom,,expense,2023-07-29
,Self,22,Food,,expense,2023-07-29
,Self,20,Food,,expense,2023-07-30
,Self,20,Pocket Money,,expense,2023-07-31
,Self,20,Telecom,ACCOUNT BALANCED (97 to add),expense,2023-07-31
,Akosua,100,Utilities,,expense,2023-08-01
,Self,20,Pocket Money,,expense,2023-08-01
,Self,25,Emergency payment,Pomaid,expense,2023-08-01
,Self,20,Pocket Money,,expense,2023-08-02
,Self,33,Pocket Money,,expense,2023-08-03
,Self,600,Pocket Money,For the whole month,expense,2023-08-04
,Self,20,Telecom,,expense,2023-08-07
,Akosua,300,Gifts,,expense,2023-08-10
,Self,15,Telecom,,expense,2023-08-13
,Self,275,Car maintenance,Tire change,expense,2023-08-14
,Self,20,Emergency payment,Printing,expense,2023-08-14
,Self,52,Medical,,expense,2023-08-19
,self,20,Food,,expense,2023-08-19
,Self,19,Food,,expense,2023-08-21
,Self,20,Food,,expense,2023-08-22
,Self,20,Telecom,,expense,2023-08-22
,self,20,Food,,expense,2023-08-23
,Self,21,Food,,expense,2023-08-24
,Self,50,Car maintenance,,expense,2023-08-25
,Self,20,Food,,expense,2023-08-25
,Self,16,Food,,expense,2023-08-26
,Self,15,Telecom,,expense,2023-08-27
,Self,23,Food,,expense,2023-08-27
,Self,36,Food,,expense,2023-08-28
,Self,18,Food,,expense,2023-08-29
,Self,29,Food,,expense,2023-08-30
,Self,40,Food,,expense,2023-08-31
,Nana Payswitch,200,Lending,,expense,2023-08-30
,Self,600,Pocket Money,,expense,2023-09-01
,Self,30,Food,,expense,2023-09-01
,Self,10,Food,,expense,2023-09-03
,Akosua,500,Gifts,,expense,2023-09-04
,Self,120,Public transportation,,expense,2023-09-04
,self,20,Food,,expense,2023-09-05
,Self,19,Food,,expense,2023-09-06
,Self,40,Medical,,expense,2023-09-06
,Self,39,Food,,expense,2023-09-07
,Self,20,Telecom,,expense,2023-09-07
,Self,300,Pocket Money,,expense,2023-09-09
,self,300,Car maintenance,Fuel,expense,2023-09-12
,Self,125,Emergency payment,Domain name,expense,2023-09-14
,Nana Payswitch,350,Lending,Car Repair,expense,2023-09-20
,Self,6,Emergency payment,Charges,expense,2023-09-20
,Self,28,Food,,expense,2023-09-22
,Clarence,60,Emergency payment,Pizza,expense,2023-09-23
,Self,20,Telecom,Data,expense,2023-09-23
,Self,24,Food,,expense,2023-09-20
,Self,15,Food,,expense,2023-09-26
,Self,90,Restaurant,,expense,2023-09-28
,Self,30,Food,,expense,2023-09-28
,Self,30,Restaurant,Kelly,expense,2023-10-04
,Self,200,Pocket Money,,expense,2023-10-05
,Self,44,Food,,expense,2023-10-06
,Self,20,Telecom,,expense,2023-10-06
,Self,20,Food,Waakye,expense,2023-10-07
,Akosua,200,Gifts,Hospital,expense,2023-10-08
,Obolos,50,Utilities,Electricity,expense,2023-10-09
,Self,40,Food,,expense,2023-10-09
,Self,15,Food,Drink,expense,2023-10-10
,Self,14,Food,Jollof,expense,2023-10-11
,Self,5,Telecom,,expense,2023-10-11
,Self,1,Telecom,,expense,2023-10-12
,Self,16,Food,,expense,2023-10-12
,Self,30,Food,Jollof,expense,2023-10-13
,Self,23,Telecom,,expense,2023-10-14
,Self,23,Food,Waakye,expense,2023-10-14
,self,20,Food,Kelewele,expense,2023-10-14
,Self,15,Food,Waakye,expense,2023-10-15
,Self,50,Gifts,,expense,2023-10-15
,Self,20,Telecom,,expense,2023-10-15
,Self,23,Food,,expense,2023-10-16
,Self,385,Clothing,,expense,2023-10-16
,Self,20,Food,,expense,2023-10-17
,Self,15,Food,Kelewele,expense,2023-10-18
,Self,20,Food,,expense,2023-10-18
,Self,21,Food,,expense,2023-10-18
,Self,15,Food,,expense,2023-10-18
,Self,21,Food,,expense,2023-10-19
,Self,13,Emergency payment,,expense,2023-10-19
,Self,30,Food,,expense,2023-10-20
,Self,100,Car maintenance,Fuel,expense,2023-10-20
,Self,30,Public transportation,,expense,2023-10-21
,Self,31,Clothing,Jeans,expense,2023-10-21
,self,40,Medical,,expense,2023-10-21
,Self,29,Restaurant,,expense,2023-10-21
,Self,20,Food,Indomie,expense,2023-10-21
,Self,20,Food,Waakye,expense,2023-10-22
,Self,20,Telecom,,expense,2023-10-22
,Self,300,Restaurant,50 lorry + 250,expense,2023-10-22
,self,25,Food,,expense,2023-10-23
,Self,50,Utilities,,expense,2023-10-24
,Self,22,Food,Waakye,expense,2023-10-24
,Self,16,Food,Kelewele,expense,2023-10-24
,Self,10,Emergency payment,soap,expense,2023-10-25
,Self,20,Food,Indomie,expense,2023-10-26
,Self,21,Food,Waakye,expense,2023-10-27
,Self,8,Food,Malt,expense,2023-10-27
,Self,35,Food,Jollof,expense,2023-10-27
,Self,20,Telecom,,expense,2023-10-28
,Self,50,Food,,expense,2023-10-28
,Self,54,Food,,expense,2023-10-29
,Self,35,Food,,expense,2023-10-30
,Self,300,Car maintenance,Fuel,expense,2023-10-30
,Self,25,Food,Waakye,expense,2023-10-31
,Self,2,Telecom,,expense,2023-10-31
,Self,20,Food,,expense,2023-11-01
,self,13,Food,,expense,2023-11-01
,Self,60,Food,,expense,2023-11-02
,Self,15,Food,,expense,2023-11-03
,Self,20,Telecom,,expense,2023-11-03
,Self,22,Food,,expense,2023-11-04
,Self,7,Telecom,,expense,2023-11-04
,Self,400,Public transportation,,expense,2023-11-04
,Self,100,Gifts,Kedia,expense,2023-11-04
,Self,20,Telecom,,expense,2023-11-06
,Self,50,Utilities,,expense,2023-11-09
,self,150,Clothing,,expense,2023-11-11
,Akosua,300,Gifts,,expense,2023-11-14
,Kofi,50,Gifts,,expense,2023-11-15
,Self,10,Telecom,,expense,2023-11-15
,Self,10,Telecom,,expense,2023-11-18
,Self,20,Food,,expense,2023-11-18
,Self,50,Food,Yam at the Mall,expense,2023-11-18
,Self,26,Food,Hollandia,expense,2023-11-19
,Amponsah,50,Gifts,Amponsah,expense,2023-11-20
,Self,40,Food,Jollof,expense,2023-11-20
,Self,60,Emergency payment,Transcript,expense,2023-11-21
,Self,20,Food,,expense,2023-11-21
,Self,40,Debt,Clarence Dollar,expense,2023-11-21
,Self,150,Public transportation,To Kumasi,expense,2023-11-22
,Self,50,Emergency payment,Obolos,expense,2023-11-22
,Self,10,Telecom,,expense,2023-11-22
,Self,47,Public transportation,From Campus to Akom,expense,2023-11-23
,self,110,Online shopping,Slippers,expense,2023-11-25
,Self,90,Emergency payment,Haircut + Bread + Transport,expense,2023-11-25
,Self,305,Public transportation,And Clinton 150,expense,2023-11-26
,Self,10,Telecom,Data,expense,2023-11-30
,Self,20,Food,,expense,2023-11-30
,Self,30,Pocket Money,,expense,2023-12-01
,self,10,Telecom,Data,expense,2023-12-02
,Self,17,Food,Wheat drink and Bread,expense,2023-12-02
,Self,39,Food,Hollandia + Bread,expense,2023-12-03
,Self,21,Public transportation,Transportation,expense,2023-12-04
,Self,20,Food,Fufu,expense,2023-12-04
,self,25,Food,Fufu,expense,2023-12-05
,Self,20,Public transportation,,expense,2023-12-06
,Self,41,Food,Drink and Bread,expense,2023-12-07
,Self,41,Food,Jollof,expense,2023-12-08
,Self,10,Telecom,Mobile Data,expense,2023-12-08
,Self,56,Other,Pomade,expense,2023-12-09
,Self,13,Food,Wheat drink and Bread,expense,2023-12-09
,Self,21,Public transportation,,expense,2023-12-11
,Self,23,Food,Rice,expense,2023-12-11
,Self (Birthday),100,Going out,Rice,expense,2023-12-12
,Self,10,Emergency payment,,expense,2023-12-13
,self,10,Public transportation,,expense,2023-12-14
,self,35,Food,Fufu,expense,2023-12-14
,self,36,Food,Kebab + Drink,expense,2023-12-15
,self,10,Telecom,Data,expense,2023-12-16
,self,30,Clothing,Singlet,expense,2023-12-16
,self,50,Clothing,Material trouser,expense,2023-12-16
,self,50,Public transportation,To Makola and food,expense,2023-12-16
,Akosua,500,Gifts,,expense,2023-12-17
,self,15,Food,Drink,expense,2023-12-18
,self,10,Public transportation,,expense,2023-12-18
,self,10,Telecom,Data bundle,expense,2023-12-18
,self,20,Food,Fufu,expense,2023-12-19
,self,10,Food,Snappy,expense,2023-12-21
,self,11,Telecom,Data bundle,expense,2023-12-21
,self,30,Food,Fufu at Wenniba,expense,2023-12-22
,self,13,Public transportation,To Wenniba,expense,2023-12-22
,self,50,Emergency payment,Charger,expense,2023-12-22
,self,120,Public transportation,Accra to Kumasi,expense,2023-12-26
,self,100,Other,Hair product,expense,2023-12-30
,self,500,Clothing,2 tops,expense,2023-12-30
,self,150,Public transportation,Kumasi to Accra,expense,2024-01-01
,Akosua,300,Gifts,,expense,2024-01-01
,self,21,Public transportation,To work,expense,2024-01-03
,self,40,Medical,Inhaler and sneezing,expense,2024-01-03
,self,15,Public transportation,,expense,2024-01-03
,self,15,Food,riped plantain,expense,2024-01-03
,self,10,Telecom,,expense,2024-01-03
,self,10,Public transportation,,expense,2024-01-04
,self,20,Food,,expense,2024-01-04
,self,11,Public transportation,,expense,2024-01-05
,self,13,Emergency payment,Mosquito Repellent,expense,2024-01-06
,self,14,Food,Drink and T-Roll,expense,2024-01-06
,Obolos,50,Gifts,,expense,2024-01-07
,self,33,Groceries,,expense,2024-01-08
,self,3,Telecom,Mobile Credit,expense,2024-01-08
,self,20,Public transportation,Water 10 + Transport 10,expense,2024-01-08
,self,20,Food,,expense,2024-01-09
,self,10,Telecom,Mobile Data,expense,2024-01-10
,Self,10,Other,Charges (Dollar conversion),expense,2024-01-10
,Self,5,Gifts,Kelly birthday,expense,2024-01-10
,Self,20,Public transportation,,expense,2024-01-11
,Sandra,100,Gifts,,expense,2024-01-11
,Mama Gina ,400,Food,Food and Utilities,expense,2024-01-11
,Self,9,Food,Drink,expense,2024-01-11
,Amponsah,20,Gifts,,expense,2024-01-12
,Self,10,Public transportation,,expense,2024-01-12
,Self,10,Telecom,Mobile Data,expense,2024-01-12
,Self,50,Restaurant,Vida Caf�,expense,2024-01-13
,Self,20,Public transportation,,expense,2024-01-13
,self,20,Food,,expense,2024-01-15
,self,10,Telecom,Mobile Data,expense,2024-01-15
,self,15,Food,,expense,2024-01-17
,self,5,Public transportation,,expense,2024-01-17
,self,10,Gifts,,expense,2024-01-17
,self,10,Telecom,Mobile Data,expense,2024-01-18
,self,10,Public transportation,,expense,2024-01-18
,self,15,Public transportation,,expense,2024-01-19
,self,20,Food,,expense,2024-01-20
,Akosua,305,Gifts,,expense,2024-01-20
,self,10,Telecom,Mobile Data,expense,2024-01-21
,Clinton,150,Gifts,,expense,2024-01-22
,Self,35,Food,Jollof Rice,expense,2024-01-23
,Self,5,Public transportation,,expense,2024-01-23
,Self,11,Telecom,,expense,2024-01-24
,Self,5,Public transportation,,expense,2024-01-24
,Self,5,Public transportation,,expense,2024-01-25
,self,5,Public transportation,,expense,2024-01-25
,Self,35,Food,,expense,2024-01-25
,self,10,Public transportation,,expense,2024-01-26
,self,32,Emergency payment,Balanced - Profit (221),expense,2024-01-26
,self,17,Food,,expense,2024-01-27
,self,10,Telecom,,expense,2024-01-27
,self,2,Telecom,,expense,2024-01-28
,self,700,Food,Monthly Expenses food n transport,expense,2024-01-29
,self,290,Emergency payment,Eye Lens,expense,2024-01-30
,self,45,Food,Jollof,expense,2024-01-30
,self,10,Telecom,,expense,2024-02-02
,self,50,Gifts,,expense,2024-02-04
,Akosua,100,Gifts,Hair,expense,2024-02-06
,Self,20,Telecom,Mobile Data,expense,2024-02-07
,Akosua,200,Gifts,,expense,2024-02-11
,Mama Joyce,200,Gifts,,expense,2024-02-19
,Self,200,Going out,,expense,2024-02-20
,Self,100,Other,"Data, Food, etc",expense,2024-02-24
,self,6,Telecom,,expense,2024-02-26
,Akosua,100,Gifts,,expense,2024-02-26
,Self,60,Food,,expense,2024-02-26
,Self,100,Utilities,Li Bill,expense,2024-01-27
,self,20,Food,,expense,2024-02-27
,self,12,Food,Yam,expense,2024-02-27
,self,10,Food,Kelewele,expense,2024-02-28
,self,17,Public transportation,To eye clinic,expense,2024-02-28
,Self,20,Food,Day Break,expense,2024-02-28
,Self,20,Public transportation,,expense,2024-02-28
,self,270,Pocket Money,"Data, Food, etc",expense,2024-03-01
,Self,250,Pocket Money,"Data, Food, etc",expense,2024-03-07
,self,270,Pocket Money,"Data, Food, etc",expense,2024-03-14
,self,270,Pocket Money,"Data, Food, etc",expense,2024-03-18
,Akosua and Sandra,400,Gifts,,expense,2024-05-01
,self,280,Pocket Money,"Data, Food, etc",expense,2024-05-01
,Self,"4,000",Electronics,Macbook,expense,2024-05-01
,self,200,Electronics,Macbook Cover,expense,2024-05-03
,self,300,Pocket Money,"Data, Food, etc",expense,2024-05-03
,self,10,Pocket Money,,expense,2024-05-06
,self,"2,000",Travel,VISA MRV,expense,2024-05-08
,self,300,Pocket Money,"Data, Food, etc",expense,2024-05-09
,self,100,Utilities,Electricity,expense,2024-05-09
,self,100,Pocket Money,"Data, Food, etc",expense,2024-05-10
,self,100,Pocket Money,"Data, Food, etc",expense,2024-05-11
,self,100,Pocket Money,,expense,2024-05-14
,self,200,Pocket Money,"Data, Food, etc",expense,2024-05-16
